# p q signal noise
91 46 2.930e-19 9.235e-20
92 37 2.483e-19 9.235e-20
92 38 3.096e-19 9.235e-20
92 39 3.842e-19 9.235e-20
92 40 4.883e-19 9.235e-20
92 41 3.604e-19 9.235e-20
92 42 5.505e-19 9.235e-20
92 43 4.120e-19 9.235e-20
92 44 4.113e-19 9.235e-20
92 45 2.912e-19 9.235e-20
92 46 3.203e-19 9.235e-20
93 37 2.483e-19 9.235e-20
93 38 3.096e-19 9.235e-20
93 39 3.842e-19 9.235e-20
93 40 4.883e-19 9.235e-20
93 41 3.604e-19 9.235e-20
93 42 5.505e-19 9.235e-20
93 43 4.120e-19 9.235e-20
93 44 4.113e-19 9.235e-20
93 45 2.912e-19 9.235e-20
93 46 3.203e-19 9.235e-20
94 37 4.329e-19 9.235e-20
94 38 4.436e-19 9.235e-20
94 39 5.195e-19 9.235e-20
94 40 3.696e-19 9.235e-20
94 41 5.348e-19 9.235e-20
94 42 4.993e-19 9.235e-20
94 43 5.225e-19 9.235e-20
94 44 3.749e-19 9.235e-20
94 45 4.235e-19 9.235e-20
94 46 2.392e-19 9.235e-20
95 37 4.329e-19 9.235e-20
95 38 4.436e-19 9.235e-20
95 39 5.195e-19 9.235e-20
95 40 3.696e-19 9.235e-20
95 41 5.348e-19 9.235e-20
95 42 4.993e-19 9.235e-20
95 43 5.225e-19 9.235e-20
95 44 3.749e-19 9.235e-20
95 45 4.235e-19 9.235e-20
95 46 2.392e-19 9.235e-20
96 37 4.278e-19 9.235e-20
96 38 3.318e-19 9.235e-20
96 39 4.185e-19 9.235e-20
96 40 3.194e-19 9.235e-20
96 41 3.793e-19 9.235e-20
96 42 4.214e-19 9.235e-20
96 43 4.302e-19 9.235e-20
96 44 2.797e-19 9.235e-20
96 45 4.415e-19 9.235e-20
96 46 2.940e-19 9.235e-20
97 37 4.278e-19 9.235e-20
97 38 3.318e-19 9.235e-20
97 39 4.185e-19 9.235e-20
97 40 3.194e-19 9.235e-20
97 41 3.793e-19 9.235e-20
97 42 4.214e-19 9.235e-20
97 43 4.302e-19 9.235e-20
97 44 2.797e-19 9.235e-20
97 45 4.415e-19 9.235e-20
98 38 2.640e-19 9.235e-20
98 39 3.047e-19 9.235e-20
98 40 3.111e-19 9.235e-20
98 41 3.986e-19 9.235e-20
98 42 3.451e-19 9.235e-20
98 43 3.678e-19 9.235e-20
98 44 1.383e-19 9.235e-20
99 38 2.640e-19 9.235e-20
99 39 3.047e-19 9.235e-20
99 40 3.111e-19 9.235e-20
99 41 3.986e-19 9.235e-20
99 42 3.451e-19 9.235e-20
99 43 3.678e-19 9.235e-20
100 39 3.175e-19 9.235e-20
100 40 3.510e-19 9.235e-20
100 41 3.088e-19 9.235e-20
100 42 2.872e-19 9.235e-20
