# p q signal noise
27 101 1.151e+02 3.779e+00
27 102 1.123e+02 3.779e+00
27 103 1.127e+02 3.779e+00
27 104 1.206e+02 3.779e+00
27 105 1.085e+02 3.779e+00
27 106 1.029e+02 3.779e+00
27 107 1.132e+02 3.779e+00
27 108 1.305e+02 3.779e+00
27 109 1.457e+02 3.779e+00
27 110 1.785e+02 3.779e+00
27 111 1.871e+02 3.779e+00
27 112 1.936e+02 3.779e+00
27 113 1.801e+02 3.779e+00
27 114 1.555e+02 3.779e+00
27 115 1.488e+02 3.779e+00
27 116 1.319e+02 3.779e+00
27 117 1.178e+02 3.779e+00
27 118 1.096e+02 3.779e+00
27 119 9.790e+01 3.779e+00
27 120 8.207e+01 3.779e+00
27 121 7.218e+01 3.779e+00
27 122 5.301e+01 3.779e+00
27 123 4.135e+01 3.779e+00
27 124 4.451e+01 3.779e+00
28 64 3.273e+01 3.779e+00
28 65 4.014e+01 3.779e+00
28 66 4.529e+01 3.779e+00
28 67 6.441e+01 3.779e+00
28 68 7.587e+01 3.779e+00
28 69 8.967e+01 3.779e+00
28 70 1.168e+02 3.779e+00
28 71 1.327e+02 3.779e+00
28 72 1.452e+02 3.779e+00
28 73 1.419e+02 3.779e+00
28 74 1.475e+02 3.779e+00
28 75 1.583e+02 3.779e+00
28 76 1.595e+02 3.779e+00
28 77 1.655e+02 3.779e+00
28 78 1.681e+02 3.779e+00
28 79 1.649e+02 3.779e+00
28 80 1.602e+02 3.779e+00
28 81 1.558e+02 3.779e+00
28 82 1.527e+02 3.779e+00
28 83 1.395e+02 3.779e+00
28 84 1.313e+02 3.779e+00
28 85 1.288e+02 3.779e+00
28 86 1.241e+02 3.779e+00
28 87 1.398e+02 3.779e+00
28 88 1.254e+02 3.779e+00
28 89 1.186e+02 3.779e+00
28 90 1.237e+02 3.779e+00
28 91 1.275e+02 3.779e+00
28 92 1.266e+02 3.779e+00
28 93 1.252e+02 3.779e+00
28 94 1.229e+02 3.779e+00
28 95 1.282e+02 3.779e+00
28 96 1.150e+02 3.779e+00
28 97 1.141e+02 3.779e+00
28 98 1.040e+02 3.779e+00
28 99 9.167e+01 3.779e+00
28 100 8.138e+01 3.779e+00
28 101 6.822e+01 3.779e+00
28 102 6.909e+01 3.779e+00
28 103 7.609e+01 3.779e+00
28 104 7.024e+01 3.779e+00
28 105 7.106e+01 3.779e+00
28 106 7.074e+01 3.779e+00
28 107 7.596e+01 3.779e+00
28 108 8.398e+01 3.779e+00
28 109 9.509e+01 3.779e+00
28 110 1.165e+02 3.779e+00
28 111 1.242e+02 3.779e+00
28 112 1.395e+02 3.779e+00
28 113 1.205e+02 3.779e+00
28 114 1.098e+02 3.779e+00
28 115 9.633e+01 3.779e+00
28 116 9.646e+01 3.779e+00
28 117 8.200e+01 3.779e+00
28 118 7.375e+01 3.779e+00
28 119 7.505e+01 3.779e+00
28 120 6.267e+01 3.779e+00
28 121 5.240e+01 3.779e+00
28 122 2.774e+01 3.779e+00
29 62 3.668e+01 3.779e+00
29 63 4.793e+01 3.779e+00
29 64 4.251e+01 3.779e+00
29 65 5.648e+01 3.779e+00
29 66 7.378e+01 3.779e+00
29 67 9.098e+01 3.779e+00
29 68 1.011e+02 3.779e+00
29 69 1.232e+02 3.779e+00
29 70 1.504e+02 3.779e+00
29 71 1.714e+02 3.779e+00
29 72 1.842e+02 3.779e+00
29 73 1.787e+02 3.779e+00
29 74 1.745e+02 3.779e+00
29 75 1.757e+02 3.779e+00
29 76 1.703e+02 3.779e+00
29 77 1.697e+02 3.779e+00
29 78 1.871e+02 3.779e+00
29 79 1.752e+02 3.779e+00
29 80 1.597e+02 3.779e+00
29 81 1.477e+02 3.779e+00
29 82 1.360e+02 3.779e+00
29 83 1.252e+02 3.779e+00
29 84 1.096e+02 3.779e+00
29 85 1.026e+02 3.779e+00
29 86 1.036e+02 3.779e+00
29 87 9.430e+01 3.779e+00
29 88 9.329e+01 3.779e+00
29 89 9.065e+01 3.779e+00
29 90 8.524e+01 3.779e+00
29 91 8.531e+01 3.779e+00
29 92 8.876e+01 3.779e+00
29 93 8.048e+01 3.779e+00
29 94 8.783e+01 3.779e+00
29 95 7.646e+01 3.779e+00
29 96 7.039e+01 3.779e+00
29 97 6.598e+01 3.779e+00
29 98 6.356e+01 3.779e+00
29 99 5.583e+01 3.779e+00
29 100 5.059e+01 3.779e+00
29 101 4.673e+01 3.779e+00
29 102 4.963e+01 3.779e+00
29 103 3.837e+01 3.779e+00
29 104 4.141e+01 3.779e+00
29 105 4.338e+01 3.779e+00
29 106 5.026e+01 3.779e+00
29 107 4.596e+01 3.779e+00
29 108 5.263e+01 3.779e+00
29 109 6.146e+01 3.779e+00
29 110 6.868e+01 3.779e+00
29 111 8.100e+01 3.779e+00
29 112 8.424e+01 3.779e+00
29 113 7.404e+01 3.779e+00
29 114 6.550e+01 3.779e+00
29 115 5.945e+01 3.779e+00
29 116 6.053e+01 3.779e+00
29 117 4.548e+01 3.779e+00
29 118 4.976e+01 3.779e+00
29 119 4.592e+01 3.779e+00
29 120 3.727e+01 3.779e+00
29 121 3.833e+01 3.779e+00
30 60 3.505e+01 3.779e+00
30 61 3.869e+01 3.779e+00
30 62 3.819e+01 3.779e+00
30 63 6.268e+01 3.779e+00
30 64 6.994e+01 3.779e+00
30 65 7.940e+01 3.779e+00
30 66 9.811e+01 3.779e+00
30 67 1.083e+02 3.779e+00
30 68 1.294e+02 3.779e+00
30 69 1.476e+02 3.779e+00
30 70 1.743e+02 3.779e+00
30 71 1.815e+02 3.779e+00
30 72 1.826e+02 3.779e+00
30 73 1.866e+02 3.779e+00
30 74 1.850e+02 3.779e+00
30 75 1.927e+02 3.779e+00
30 76 1.837e+02 3.779e+00
30 77 1.811e+02 3.779e+00
30 78 1.760e+02 3.779e+00
30 79 1.558e+02 3.779e+00
30 80 1.455e+02 3.779e+00
30 81 1.275e+02 3.779e+00
30 82 1.031e+02 3.779e+00
30 83 9.522e+01 3.779e+00
30 84 7.882e+01 3.779e+00
30 85 7.551e+01 3.779e+00
30 86 7.614e+01 3.779e+00
30 87 6.571e+01 3.779e+00
30 88 6.611e+01 3.779e+00
30 89 6.183e+01 3.779e+00
30 90 6.021e+01 3.779e+00
30 91 5.982e+01 3.779e+00
30 92 6.213e+01 3.779e+00
30 93 5.516e+01 3.779e+00
30 94 5.386e+01 3.779e+00
30 95 5.133e+01 3.779e+00
30 96 4.653e+01 3.779e+00
30 97 4.272e+01 3.779e+00
30 98 4.177e+01 3.779e+00
30 99 3.692e+01 3.779e+00
30 100 3.651e+01 3.779e+00
30 101 3.550e+01 3.779e+00
30 102 3.108e+01 3.779e+00
30 103 3.076e+01 3.779e+00
30 104 2.599e+01 3.779e+00
30 105 2.274e+01 3.779e+00
30 106 3.279e+01 3.779e+00
30 107 3.393e+01 3.779e+00
30 108 3.525e+01 3.779e+00
