# met met_unc sfr_density_SED sfr_density_SED_unc Ha_flux Ha_flux_unc mass_density mass_density_unc area_pc
8.604503509279999 0.42203075959399994 -5.893396141875752 0.44000000000000006 2.676e-18 2.711e-19 2.2266038581242484 0.6699999999999999 374404.6216979749
9.10090831979 0.132540134056 -6.793396141875752 1.5199999999999998 3.274e-18 1.806e-19 3.016603858124248 0.3600000000000003 77839.15475119215
9.00651982851 0.158928823162 -5.913396141875752 0.5299999999999999 3.024e-18 2.675e-19 2.276603858124248 0.6500000000000004 293942.35373131325
8.94925814455 0.126249580959 -6.563396141875752 1.29 3.042e-18 2.235e-19 3.0866038581242483 0.29000000000000004 10683.159925864347
9.01006577705 0.178313644834 -6.063396141875752 0.76 3.86e-18 2.781e-19 2.676603858124248 0.41999999999999993 47405.41734212591
8.75908073264 0.167912965928 -6.853396141875751 1.2799999999999996 3.24e-18 3.0809999999999997e-19 2.2666038581242485 0.5099999999999998 162113.3835840606
8.60660351436 0.439752072332 -6.623396141875752 0.8300000000000001 3.2569999999999997e-18 2.353e-19 2.1166038581242486 0.5099999999999998 119697.61230047267
9.11492720036 0.135364685407 -6.843396141875752 1.6 3.2049999999999995e-18 1.903e-19 2.806603858124248 0.4299999999999997 16242.245665585151
8.65231011473 0.43505562038 -5.7133961418757515 0.29000000000000004 4.466e-18 3.352e-19 2.2466038581242485 0.6799999999999997 40572.17583076152
8.84556257743 0.128100990815 -7.683396141875752 2.4299999999999997 3.736e-18 2.312e-19 2.7466038581242485 0.5200000000000005 19650.789153208934
8.88269254181 0.144797845371 -6.0033961418757515 0.35 4.477e-18 1.987e-19 1.9566038581242484 0.7699999999999996 41354.11989203382
8.66075679945 0.449375736538 -5.873396141875752 0.5200000000000001 4.796e-18 2.75e-19 2.566603858124248 0.5500000000000007 6299.63202554084
8.65538786516 0.43475811166199996 -6.633396141875751 0.75 3.422e-18 3.569e-19 2.0466038581242483 0.5199999999999996 23931.814356462768
nan nan -5.983396141875752 0.31999999999999995 4.358e-18 4.513e-19 1.9866038581242478 0.7300000000000004 3051.1479546758933
8.86858441783 0.0869230456372 -7.383396141875751 2.08 4.157e-18 2.88e-19 3.066603858124248 0.1899999999999995 9170.633692876048
9.00371456192 0.118804315989 -5.853396141875752 0.52 4.508e-18 3.087e-19 2.596603858124248 0.5 2143.7425537350387
8.91014114266 0.130303148315 -6.413396141875752 0.5999999999999998 4.092e-18 3.267e-19 2.0366038581242485 0.5699999999999994 9403.448739522737
8.91414853646 0.0888805898239 -7.493396141875752 2.13 3.723e-18 2.089e-19 2.966603858124248 0.33999999999999986 122354.33164980753
9.09410032225 0.139540755585 -5.793396141875752 0.21999999999999997 4.315e-18 5.127e-19 2.106603858124248 0.7400000000000002 19369.00641780074
9.08807201511 0.116837345253 -6.233396141875752 1.0699999999999998 4.164e-18 2.307e-19 2.8766038581242483 0.40000000000000036 13997.22008933347
9.08255393589 0.140411381816 -6.303396141875751 0.64 3.0200000000000005e-18 3.024e-19 2.136603858124248 0.5899999999999999 95790.4741043134
8.86366791942 0.154988795162 -7.203396141875752 1.72 4.076e-18 2.486e-19 3.246603858124247 0.2599999999999998 28674.512322865714
8.97922818363 0.105689918092 -5.563396141875752 0.4100000000000001 3.753000000000001e-18 1.819e-19 2.7066038581242484 0.629999999999999 50436.80090424813
