# p q signal noise
23 32 1.101e+01 1.977e-01
23 33 1.004e+01 1.977e-01
23 34 9.305e+00 1.977e-01
23 35 8.245e+00 1.977e-01
23 36 7.415e+00 1.977e-01
23 37 6.439e+00 1.977e-01
23 38 5.474e+00 1.977e-01
23 39 4.319e+00 1.977e-01
23 40 3.225e+00 1.977e-01
23 41 2.313e+00 1.977e-01
24 14 1.615e+00 1.977e-01
24 15 2.218e+00 1.977e-01
24 16 2.572e+00 1.977e-01
24 17 3.014e+00 1.977e-01
24 18 3.587e+00 1.977e-01
24 19 4.271e+00 1.977e-01
24 20 5.052e+00 1.977e-01
24 21 6.020e+00 1.977e-01
24 22 6.946e+00 1.977e-01
24 23 7.936e+00 1.977e-01
24 24 8.967e+00 1.977e-01
24 25 9.856e+00 1.977e-01
24 26 1.077e+01 1.977e-01
24 27 1.162e+01 1.977e-01
24 28 1.223e+01 1.977e-01
24 29 1.228e+01 1.977e-01
24 30 1.224e+01 1.977e-01
24 31 1.188e+01 1.977e-01
24 32 1.126e+01 1.977e-01
24 33 1.066e+01 1.977e-01
24 34 1.018e+01 1.977e-01
24 35 9.347e+00 1.977e-01
24 36 8.566e+00 1.977e-01
24 37 7.562e+00 1.977e-01
24 38 6.420e+00 1.977e-01
24 39 5.173e+00 1.977e-01
24 40 3.937e+00 1.977e-01
24 41 2.952e+00 1.977e-01
24 42 2.025e+00 1.977e-01
25 15 1.529e+00 1.977e-01
25 16 1.687e+00 1.977e-01
25 17 1.913e+00 1.977e-01
25 18 2.557e+00 1.977e-01
25 19 3.059e+00 1.977e-01
25 20 3.736e+00 1.977e-01
25 21 4.476e+00 1.977e-01
25 22 5.304e+00 1.977e-01
25 23 6.055e+00 1.977e-01
25 24 6.977e+00 1.977e-01
25 25 7.648e+00 1.977e-01
25 26 8.515e+00 1.977e-01
25 27 9.283e+00 1.977e-01
25 28 9.991e+00 1.977e-01
25 29 1.032e+01 1.977e-01
25 30 1.052e+01 1.977e-01
25 31 1.055e+01 1.977e-01
25 32 1.065e+01 1.977e-01
25 33 1.040e+01 1.977e-01
25 34 1.035e+01 1.977e-01
25 35 9.817e+00 1.977e-01
25 36 8.912e+00 1.977e-01
25 37 7.902e+00 1.977e-01
25 38 6.744e+00 1.977e-01
25 39 5.381e+00 1.977e-01
25 40 4.214e+00 1.977e-01
25 41 3.082e+00 1.977e-01
25 42 2.212e+00 1.977e-01
26 17 1.139e+00 1.977e-01
26 18 1.580e+00 1.977e-01
26 19 1.983e+00 1.977e-01
26 20 2.438e+00 1.977e-01
26 21 3.066e+00 1.977e-01
26 22 3.660e+00 1.977e-01
26 23 4.277e+00 1.977e-01
26 24 4.987e+00 1.977e-01
26 25 5.532e+00 1.977e-01
26 26 6.262e+00 1.977e-01
26 27 6.959e+00 1.977e-01
26 28 7.667e+00 1.977e-01
26 29 8.046e+00 1.977e-01
26 30 8.506e+00 1.977e-01
26 31 8.763e+00 1.977e-01
26 32 9.287e+00 1.977e-01
26 33 9.456e+00 1.977e-01
26 34 9.773e+00 1.977e-01
26 35 9.239e+00 1.977e-01
26 36 8.634e+00 1.977e-01
26 37 7.617e+00 1.977e-01
26 38 6.537e+00 1.977e-01
26 39 5.297e+00 1.977e-01
26 40 4.124e+00 1.977e-01
26 41 3.078e+00 1.977e-01
26 42 2.142e+00 1.977e-01
27 20 1.754e+00 1.977e-01
27 21 2.109e+00 1.977e-01
27 22 2.627e+00 1.977e-01
27 23 3.093e+00 1.977e-01
27 24 3.528e+00 1.977e-01
27 25 4.001e+00 1.977e-01
27 26 4.613e+00 1.977e-01
27 27 5.191e+00 1.977e-01
27 28 5.809e+00 1.977e-01
27 29 6.226e+00 1.977e-01
27 30 6.681e+00 1.977e-01
27 31 7.101e+00 1.977e-01
27 32 7.618e+00 1.977e-01
27 33 7.998e+00 1.977e-01
27 34 8.494e+00 1.977e-01
27 35 8.083e+00 1.977e-01
27 36 7.751e+00 1.977e-01
27 37 6.910e+00 1.977e-01
27 38 6.006e+00 1.977e-01
27 39 4.952e+00 1.977e-01
27 40 3.869e+00 1.977e-01
27 41 3.095e+00 1.977e-01
27 42 2.400e+00 1.977e-01
28 22 1.829e+00 1.977e-01
28 23 2.099e+00 1.977e-01
28 24 2.449e+00 1.977e-01
28 25 2.785e+00 1.977e-01
28 26 3.233e+00 1.977e-01
28 27 3.668e+00 1.977e-01
