bin              f_oii f_neiii    f_hd    f_hg    f_hb f_oiii59 f_oiii07            unc_oii unc_neii unc_hd unc_hg unc_hb unc_oiii59 unc_oiii07
 74 381.28700000000003     nan  44.659  90.233 235.471   53.771  165.175              9.337      nan  5.593  4.218  9.518     10.878      9.267
 75 361.93600000000004     nan  38.576  75.153 202.189   63.657  178.011              9.136      nan  4.005  5.008  6.299      4.744      8.282
 76            499.055  21.984  74.252 140.861 370.908    94.43  257.209             31.521    5.615  8.726  8.642 17.505      20.71     16.634
 77             486.03     nan  48.405  86.306 292.864   83.529  182.905             23.963      nan  7.067  8.389 15.647     11.751       8.11
 78  538.1320000000001     nan   75.14 147.158 355.896   80.543  224.687              24.67      nan  8.105  7.179 11.167     13.373     10.416
 79            116.375     nan     nan  14.503  42.915   19.417   44.136              6.371      nan    nan  3.531  3.444      6.025      5.072
  8 1293.0810000000001  73.569   159.1 305.352 861.877  328.782 1241.374 49.022000000000006   11.644  6.937  4.246 19.984     28.916     34.401
 80             484.72     nan  49.425 142.835 387.554   68.495  219.227             21.142      nan  8.346  7.433 15.513     14.465     13.173
 81            304.658  11.122  30.985  63.162  158.33   45.736   134.92              9.503    3.206  4.019  4.113  7.126      9.144      8.355
 82            414.556     nan  53.697 103.513 271.223   68.631  197.271 15.681999999999999      nan  7.287  5.671 15.806     16.143      9.652
 83            470.043     nan  75.346 110.074 329.773   73.225  205.227 26.392000000000003      nan  6.881 11.318 18.043     13.557     15.828
 84            478.614     nan  70.251  126.68  338.62    72.13  190.364             17.295      nan  5.864   9.73 17.512     16.095     16.735
 85 451.53700000000003     nan  68.977 132.319 360.089   67.823  186.041             21.633      nan 12.111  8.248 20.686     19.882     12.135
 86            451.395  33.827  68.304 114.331 322.279   61.929  172.667             17.644    9.007   7.91  9.565  19.38     18.885     13.896
 87            214.365     nan  19.721  46.104 111.627   36.848   91.531              8.316      nan  4.998  3.041  7.614      7.855      7.163
 88            372.405     nan  47.324  84.691 265.276   56.472  144.802             16.534      nan  5.021  6.942 15.715      7.646      11.78
 89            296.582     nan  29.083   64.07 169.473   43.297    114.9             10.511      nan  4.547  5.215  9.311      7.719        6.0
  9 438.10900000000004   18.51  41.306  79.397 206.113   73.708  276.156 11.164000000000001    5.138  1.356  2.891  9.077      6.834      7.369
 90 416.49199999999996     nan  51.601 106.797  296.25   72.783  185.765 17.250999999999998      nan  7.356  6.292 20.429     15.226     16.018
 91            424.116     nan  63.113 114.975 302.939   66.017  183.357             19.532      nan 10.066 10.036 19.019      15.19     13.577
 92 440.86800000000005     nan  55.348 119.469 307.843   72.214   176.47             26.244      nan   9.78  8.786 26.819     17.128     14.217
 93            437.126     nan   59.67 104.852 332.609      nan  175.684             22.647      nan  7.185  7.371 13.163        nan     12.041
 94 318.18899999999996     nan  33.018  66.237 206.428      nan  135.507             11.132      nan  5.482  5.631 10.321        nan      5.713
 95            397.719     nan   51.71 109.524 307.141   92.136  155.006             27.504      nan  8.749  8.395 22.295     16.451     14.498
 96 387.68100000000004     nan  50.539  104.41 278.594      nan  170.688             21.723      nan  9.421 10.826 15.975        nan     11.814
 97 295.37300000000005     nan  40.314  65.565 175.348   46.525  114.474              9.798      nan   4.72  5.905 11.375     13.472     13.782
 98            399.122     nan  42.569  76.018 266.135   68.477  138.962             27.003      nan  9.923  9.711 18.725     20.642     11.364
 99            353.848     nan  33.529  71.233 234.416   56.295  144.624             22.081      nan  9.037   8.26 15.287      17.95     15.184
